Fitted,Comment,Description,Designator,Footprint,Manufacturer 1,Manufacturer Part Number 1,Quantity,Supplier 1,Supplier Part Number 1

"Fitted","10uF","CAP CER 10UF 10V X5R 0402","C1, C7","C0402","Samsung","CL05A106MP5NUNC","2","Digi-Key","1276-1450-1-ND"
"Fitted","0.1uF","CAP CER 0.1UF 16V X5R 0201","C2, C3, C4, C6, C8, C9, C10, C11, C13, C16, C21","C0201","Murata","GRM033R61C104ME84D","11","Digi-Key","490-9986-1-ND"
"Fitted","4.7uF","CAP CER 4.7UF 16V X5R 0402","C12","C0402","Samsung","CL05A475MO5NUNC","1","Digi-Key","1276-6836-1-ND"
"Fitted","47pF","CAP CER 47PF 25V C0G/NP0 0201","C14, C15","C0201","Murata","GRM0335C1E470FA01D","2","Digi-Key","490-11298-1-ND"
"Fitted","10uF","CAP CER 10UF 25V X5R 0603","C17","C0603","Murata","GRM188R61E106MA73D","1","Digi-Key","490-7202-1-ND"
"Fitted","22uF","CAP CER 22UF 16V X5R 0805","C18","C0805","Taiyo Yuden","EMK212BBJ226MG-T","1","Digi-Key","587-3239-1-ND"
"Fitted","1uF","CAP CER 1UF 25V X5R 0402","C19, C20","C0402","Taiyo Yuden","TMK105BJ105MV-F","2","Digi-Key","587-3245-1-ND"
"Fitted","3300pF","CAP CER 3300PF 16V X7R 0201","C22","C0201","Murata","GRM033R71C332KA88D","1","Digi-Key","490-3191-1-ND"
"Fitted","PMEG2020EPK,315","DIODE SCHOTTKY 20V 2A 2DFN","D1","NXP_DFN1608D-2","Loading...","Loading...","1","Digi-Key","1727-1338-1-ND"
"Fitted","5988091107F","LED BLUE CLEAR 0603 SMD","D2","LED0603","Dialight","598-8091-107F","1","Digi-Key","350-2037-1-ND"
"Fitted","5988070107F","LED GREEN CLEAR 0603 SMD","D3","LED0603","Loading...","Loading...","1","Digi-Key","350-2035-1-ND"
"Fitted","ZX62-B-5PA(33)","CONN RCPT USB MICRO B SMD R/A","J1","HRS_MICRO_USB","Hirose","ZX62-B-5PA(33)","1","Digi-Key","H125270CT-ND"
"Fitted","DF40C-60DP-0.4V(51)","CONN HDR 60POS 0.4MM SMD GOLD","J2","HRS_DF40C_60P_PLG","Hirose","DF40C-60DP-0.4V(51)","1","Digi-Key","H11628CT-ND"
"Fitted","BLM15PX601SN1D","FERRITE BEAD 600 OHM 0402 1LN","L1, L2","L0402","Murata","BLM15PX601SN1D","2","Digi-Key","490-9657-1-ND"
"Fitted","DMP21D0UFB4-7B","MOSFET P-CH 20V 770MA 3DFN","Q1","DIO_X2-DFN1006-3","Diodes","DMP21D0UFB4-7B","1","Digi-Key","DMP21D0UFB4-7BDICT-ND"
"Fitted","PMDXB600UNE","MOSFET 2N-CH 20V 0.6A 6DFN","Q2","NXP_DFN1010B-6","Loading...","Loading...","1","Digi-Key","1727-1470-1-ND"
"Fitted","10k","RES SMD 10K OHM 1% 1/20W 0201","R1, R3, R4","R0201","Panasonic ECG","ERJ-1GEF1002C","3","Digi-Key","P10.0KABCT-ND"
"Fitted","100k","RES SMD 100K OHM 1% 1/20W 0201","R2, R10, R12","R0201","Panasonic ECG","ERJ-1GEF1003C","3","Digi-Key","P100KABCT-ND"
"Fitted","1k","RES SMD 1K OHM 1% 1/20W 0201","R5, R9","R0201","Panasonic ECG","ERJ-1GEF1001C","2","Digi-Key","P1.00KABCT-ND"
"Fitted","27","RES SMD 27 OHM 1% 1/20W 0201","R6, R7","R0201","Panasonic ECG","ERJ-1GEF27R0C","2","Digi-Key","P27.0ABCT-ND"
"Fitted","560R","RES SMD 560 OHM 1% 1/20W 0201","R8","R0201","Panasonic ECG","ERJ-1GEF5600C","1","Digi-Key","P560ABCT-ND"
"Fitted","523k","RES SMD 523K OHM 1% 1/20W 0201","R11","R0201","Panasonic ECG","ERJ-1GEF5233C","1","Digi-Key","P523KABCT-ND"
"Fitted","TP SMT 0.5MM","0.5mm SMT Test Point","TP1, TP2","TP_SMT_0.5MM","","","2","",""
"Fitted","ATXMEGA64A4U-CU","IC MCU 8BIT 64KB FLASH 49VFBGA","U1","MCP_49C2","Microchip / Atmel","ATXMEGA64A4U-CUR","1","Digi-Key","ATXMEGA64A4U-CURCT-ND"
"Fitted","BGM123A256V2R","BGM123 BLUETOOTH SIP MODULE, 3 D","U2","SIL_BGM123","Loading...","Loading...","1","Digi-Key","336-3808-1-ND"
"Fitted","FT234XD-R","IC USB SERIAL BASIC UART 12DFN","U3","FTD_DFN12","FTDI","FT234XD-R","1","Digi-Key","768-1178-1-ND"
"Fitted","TPD4S012DRYR","IC 4CH ESD SOLUTION W/CLAMP 6SON","U4","TI_DRY","Texas Instruments","TPD4S012DRYR","1","Digi-Key","296-24244-1-ND"
"Fitted","TPS82140SILT","STEP-DOWN CONVERTER MICROSIP","U5","TI_USIL8_SIL0008D","Texas Instruments","TPS82140SILT","1","Digi-Key","296-47089-1-ND"
"Fitted","MIC5353-3.3YMT-TR","IC REG LINEAR 3.3V 500MA 6TMLF","U6","MCP_MLF6_MT","Microchip","MIC5353-3.3YMT-TR","1","Digi-Key","576-3680-1-ND"
"Fitted","CSTCE16M0V53-R0","CER RES 16.0000MHZ 15PF SMD","Y1","MUR_CSTCE_V","Murata","CSTCE16M0V53-R0","1","Digi-Key","490-1198-1-ND"
